IQ,CGPA,10th_Marks,12th_Marks,Communication_Skills,Placed
141,7.07,87,86,4.11,1
104,7.89,52,91,4.02,0
150,8.79,48,56,9.81,0
110,2.98,91,84,8.71,0
113,9.01,75,71,7.31,1
92,7.14,61,87,7.54,1
111,7.63,81,61,6.06,1
142,9.28,65,43,9.52,0
91,7.0,97,44,5.47,1
119,4.69,93,76,4.42,0
127,8.6,51,80,2.47,0
91,4.9,56,88,8.08,0
153,2.27,53,52,7.61,1
149,8.65,53,73,4.46,1
110,4.76,96,84,1.23,1
122,8.19,73,61,8.55,1
147,4.9,92,92,1.1,0
111,8.89,96,98,7.33,1
138,3.76,59,62,9.73,0
148,9.8,50,90,4.94,1
131,8.24,55,42,3.11,1
149,2.91,90,81,7.34,1
104,6.53,70,73,8.35,0
151,9.88,94,71,5.92,0
151,5.77,45,84,9.7,0
136,3.46,95,90,1.47,0
151,5.88,58,97,5.54,0
140,6.1,76,88,7.47,1
144,7.93,97,60,8.76,0
153,7.59,43,85,2.61,0
92,5.22,86,83,8.2,0
140,3.74,43,60,5.97,0
96,7.16,59,83,4.57,1
110,5.37,49,50,2.19,0
128,3.06,63,78,8.79,1
107,9.2,93,43,2.42,1
93,7.53,74,90,3.79,1
149,7.47,65,40,3.61,0
103,8.58,76,67,8.84,1
98,6.24,77,63,7.05,0
142,8.52,60,74,8.17,0
91,5.98,93,52,3.25,0
149,2.54,79,86,6.62,0
133,5.24,78,73,6.15,0
97,5.98,60,50,8.5,1
136,7.76,49,75,9.15,1
124,2.85,77,90,1.11,0
125,3.12,85,56,7.07,1
139,4.11,43,74,1.47,0
93,4.13,99,99,5.94,1
91,7.86,96,57,3.59,1
95,4.01,84,79,3.76,1
143,7.06,59,61,4.18,1
93,5.95,56,96,6.59,1
143,6.59,94,63,4.01,0
152,8.7,46,97,7.59,0
107,5.24,43,58,4.64,1
133,8.17,68,76,1.62,0
123,5.38,53,78,8.05,1
151,4.83,42,60,3.57,0
103,9.67,63,47,4.89,1
137,3.47,76,67,7.17,1
104,2.72,55,44,3.99,1
151,8.17,97,56,1.51,0
129,2.55,94,76,4.37,0
142,8.7,91,75,9.5,1
113,5.5,43,93,6.78,1
115,9.32,95,58,7.04,0
149,7.77,63,66,6.69,0
130,6.88,73,92,2.79,0
